delivery_id,order_id,delivery_status,delivery_time,rider_id
1,8218,Not Delivered,3:37:40,30
2,6386,Delivered,7:49:4,21
3,3528,Delivered,19:46:46,19
4,2604,Not Delivered,6:21:28,31
5,4924,Not Delivered,5:8:25,16
6,7778,Delivered,22:23:52,22
7,5205,Delivered,20:30:58,18
8,8768,Delivered,14:43:34,19
9,1821,Not Delivered,18:46:55,24
10,1398,Not Delivered,5:43:16,3
11,2302,Not Delivered,9:25:24,34
12,1409,Not Delivered,17:17:48,14
13,4917,Delivered,21:0:30,12
14,8629,Not Delivered,19:1:16,9
15,8765,Delivered,17:19:6,33
16,2025,Delivered,7:15:33,28
17,384,Not Delivered,18:18:41,5
18,4966,Delivered,5:27:47,19
19,2488,Delivered,18:34:16,10
20,751,Not Delivered,19:50:12,25
21,2380,Not Delivered,1:47:41,26
22,4987,Not Delivered,18:38:54,4
23,6227,Not Delivered,1:12:48,25
24,4025,Delivered,11:35:6,4
25,4477,Not Delivered,22:0:12,5
26,9556,Not Delivered,23:22:43,2
27,4429,Not Delivered,20:27:5,19
28,7711,Not Delivered,10:41:5,27
29,2643,Delivered,23:29:26,31
30,9371,Delivered,14:36:35,24
31,7395,Delivered,7:14:57,3
32,2315,Not Delivered,4:24:41,20
33,637,Not Delivered,17:25:43,23
34,16,Not Delivered,5:5:49,5
35,3036,Not Delivered,6:6:56,16
36,9205,Not Delivered,9:13:9,9
37,1522,Not Delivered,20:22:3,29
38,865,Not Delivered,22:51:3,12
39,3074,Delivered,5:41:29,33
40,4108,Delivered,12:16:33,13
41,7579,Not Delivered,19:42:51,19
42,893,Not Delivered,7:43:10,17
43,8046,Delivered,23:7:44,14
44,186,Delivered,5:31:53,15
45,8491,Delivered,3:26:25,2
46,7441,Delivered,10:35:11,2
47,4406,Not Delivered,20:15:59,10
48,6065,Not Delivered,8:1:56,7
49,5659,Delivered,20:37:47,32
50,3845,Delivered,18:8:41,19
51,2579,Not Delivered,16:27:41,34
52,9455,Not Delivered,13:28:44,8
53,1734,Delivered,8:0:14,7
54,422,Not Delivered,2:35:51,29
55,8589,Delivered,12:25:44,1
56,918,Not Delivered,9:40:58,23
57,5141,Not Delivered,3:9:44,8
58,8233,Delivered,12:58:35,11
59,1464,Delivered,19:19:4,6
60,7265,Delivered,22:42:3,19
61,7919,Delivered,2:7:37,34
62,3360,Delivered,15:37:27,18
63,6293,Not Delivered,3:10:53,29
64,5920,Not Delivered,7:8:42,7
65,7551,Delivered,23:15:24,22
66,9480,Not Delivered,2:51:57,33
67,8383,Delivered,7:4:30,5
68,3514,Delivered,10:57:27,18
69,1972,Delivered,17:3:31,30
70,2712,Not Delivered,10:52:56,14
71,2247,Not Delivered,21:12:41,8
72,996,Not Delivered,15:40:28,23
73,7569,Not Delivered,8:13:6,2
74,9756,Delivered,23:19:17,13
75,8724,Not Delivered,20:3:7,16
76,8131,Not Delivered,5:18:19,33
77,2941,Not Delivered,23:17:29,5
78,4114,Not Delivered,2:55:18,8
79,7752,Delivered,4:47:14,25
80,1875,Not Delivered,21:26:53,17
81,3365,Not Delivered,7:7:36,10
82,8492,Not Delivered,17:22:23,11
83,4967,Not Delivered,20:1:13,1
84,4703,Delivered,15:3:50,18
85,6949,Not Delivered,3:27:26,8
86,7128,Not Delivered,15:55:38,4
87,8814,Delivered,14:30:9,32
88,9604,Not Delivered,21:0:55,2
89,5046,Not Delivered,23:20:49,11
90,9235,Not Delivered,13:26:24,15
91,3113,Delivered,22:35:53,18
92,605,Delivered,1:47:53,26
93,9935,Delivered,22:31:26,1
94,3822,Not Delivered,23:37:18,20
95,702,Not Delivered,16:1:5,5
96,7543,Not Delivered,8:8:33,11
97,1838,Not Delivered,23:44:27,8
98,7327,Delivered,1:41:7,29
99,3879,Delivered,8:17:25,10
100,9780,Not Delivered,18:47:13,1
101,9522,Delivered,16:20:50,17
102,3166,Delivered,22:48:43,25
103,726,Delivered,22:46:51,6
104,5551,Delivered,14:35:35,2
105,2939,Not Delivered,9:44:20,25
106,1881,Delivered,19:23:59,24
107,2738,Delivered,19:45:28,19
108,4814,Not Delivered,9:55:19,10
109,288,Not Delivered,6:55:44,32
110,5509,Not Delivered,13:10:10,4
111,8512,Not Delivered,16:37:7,12
112,6550,Not Delivered,1:8:42,19
113,9823,Delivered,1:22:34,1
114,2063,Delivered,20:13:35,27
115,3476,Delivered,5:39:7,17
116,9155,Delivered,3:44:47,18
117,9333,Delivered,21:32:2,21
118,4165,Not Delivered,4:38:48,11
119,394,Not Delivered,2:19:44,12
120,6167,Delivered,16:57:33,21
121,9102,Delivered,13:48:1,29
122,573,Delivered,6:39:34,13
123,248,Not Delivered,8:4:14,17
124,8092,Not Delivered,15:21:51,6
125,5101,Delivered,17:9:5,27
126,9353,Delivered,10:0:23,32
127,7001,Not Delivered,21:44:32,21
128,350,Delivered,2:46:29,5
129,457,Not Delivered,0:2:34,31
130,8481,Delivered,1:50:19,16
131,5519,Not Delivered,12:11:48,1
132,5481,Delivered,23:44:45,21
133,4429,Delivered,14:39:57,7
134,5373,Delivered,19:2:10,24
135,9408,Not Delivered,0:27:3,14
136,3713,Not Delivered,14:31:39,24
137,8449,Not Delivered,16:2:35,16
138,7681,Not Delivered,7:11:52,17
139,4060,Not Delivered,18:45:8,16
140,2364,Not Delivered,10:44:5,16
141,1037,Not Delivered,4:40:18,6
142,9668,Not Delivered,16:54:53,27
143,6257,Not Delivered,15:58:18,18
144,3871,Delivered,23:2:40,33
145,7916,Not Delivered,7:57:52,15
146,157,Delivered,20:41:30,21
147,1294,Not Delivered,1:52:54,24
148,175,Delivered,17:17:59,2
149,2906,Delivered,14:52:37,16
150,2344,Delivered,7:3:59,15
151,2888,Not Delivered,2:46:36,26
152,9101,Not Delivered,0:26:33,12
153,1753,Delivered,4:50:15,19
154,6387,Not Delivered,22:36:57,27
155,985,Not Delivered,13:17:41,7
156,3409,Not Delivered,2:49:2,29
157,3842,Not Delivered,16:35:34,26
158,3874,Delivered,16:31:33,31
159,5579,Delivered,10:47:10,12
160,1732,Delivered,1:29:56,17
161,8488,Delivered,5:58:23,14
162,677,Not Delivered,7:7:51,19
163,9872,Not Delivered,6:56:27,25
164,4188,Not Delivered,20:54:52,9
165,5582,Not Delivered,5:52:27,13
166,9279,Delivered,8:27:55,16
