order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
1,11,45,Pasta,2023-06-27,21:10:24,Completed,435
2,2,49,Dosa,2023-04-10,07:49:44,Not Fulfilled,723
3,22,63,Pasta,2023-12-09,16:01:54,Completed,318
4,1,38,Dosa,2023-10-21,10:19:02,Not Fulfilled,412
5,20,2,Pizza,2023-12-18,16:56:07,Not Fulfilled,491
6,20,28,Pasta,2023-11-20,19:37:19,Completed,352
7,30,5,Shawarma,2023-07-27,10:19:44,Not Fulfilled,300
8,12,28,Burger,2023-09-27,21:26:49,Completed,419
9,11,67,Pasta,2023-05-05,14:40:04,Completed,155
10,9,38,Dosa,2023-03-23,10:56:44,Not Fulfilled,672
11,13,21,Shawarma,2023-03-06,12:45:28,Completed,263
12,33,46,Dosa,2023-07-03,14:08:02,Completed,361
13,20,42,Paneer Butter Masala,2023-07-31,05:32:01,Completed,606
14,1,6,Pizza,2023-09-01,07:13:54,Completed,454
15,28,58,Paneer Butter Masala,2023-05-13,18:59:53,Completed,617
16,30,68,Biryani,2023-12-19,21:06:23,Not Fulfilled,690
17,32,17,Chole Bhature,2023-07-24,15:38:24,Completed,189
18,20,10,Chole Bhature,2023-03-12,12:34:42,Completed,179
19,20,22,Pasta,2023-10-01,04:07:51,Completed,644
20,5,43,Dosa,2023-02-22,03:21:17,Completed,410
21,23,30,Paneer Butter Masala,2023-01-29,14:53:51,Completed,534
22,25,63,Shawarma,2023-12-14,14:24:40,Completed,620
23,1,29,Shawarma,2023-10-24,04:10:14,Completed,226
24,4,65,Biryani,2023-06-20,10:32:33,Completed,315
25,2,23,Chole Bhature,2023-12-24,02:19:45,Not Fulfilled,386
26,16,70,Burger,2023-08-26,03:29:37,Completed,367
27,30,23,Shawarma,2023-01-16,07:55:07,Not Fulfilled,361
28,9,67,Dosa,2023-11-10,23:30:40,Completed,658
29,26,53,Paneer Butter Masala,2023-10-06,04:44:34,Completed,684
30,31,43,Shawarma,2023-12-06,01:00:52,Completed,480
31,10,37,Shawarma,2023-03-08,19:59:27,Completed,564
32,2,11,Paneer Butter Masala,2023-05-06,23:46:44,Completed,431
33,14,29,Burger,2023-08-10,16:27:43,Not Fulfilled,486
34,3,8,Biryani,2023-04-19,07:01:57,Not Fulfilled,236
35,33,1,Paneer Butter Masala,2023-04-11,12:57:03,Completed,214
36,12,48,Pizza,2023-10-11,18:59:10,Completed,394
37,6,49,Paneer Butter Masala,2023-01-07,19:26:36,Completed,695
38,25,43,Burger,2023-04-12,11:28:43,Not Fulfilled,158
39,27,38,Chole Bhature,2023-04-29,22:56:21,Not Fulfilled,461
40,27,13,Dosa,2023-05-28,02:15:40,Completed,725
41,31,66,Dosa,2023-05-26,03:18:08,Not Fulfilled,471
42,19,45,Biryani,2023-01-18,16:00:09,Not Fulfilled,152
43,16,62,Burger,2023-03-21,00:47:19,Not Fulfilled,545
44,11,60,Pasta,2023-10-20,11:39:24,Completed,259
45,23,25,Paneer Butter Masala,2023-06-04,21:45:14,Not Fulfilled,183
46,5,32,Pasta,2023-12-03,08:19:48,Not Fulfilled,265
47,23,63,Pizza,2023-06-27,11:10:31,Not Fulfilled,242
48,25,43,Burger,2023-10-08,23:35:44,Completed,492
49,32,33,Pizza,2023-06-22,20:04:34,Not Fulfilled,480
50,22,27,Paneer Butter Masala,2023-02-10,09:51:52,Completed,693
51,15,17,Pizza,2023-03-03,23:35:02,Completed,338
52,31,24,Shawarma,2023-06-26,20:06:11,Not Fulfilled,281
53,17,32,Pizza,2023-05-27,13:15:21,Not Fulfilled,170
54,33,66,Chole Bhature,2023-04-11,00:54:46,Completed,435
55,30,1,Chole Bhature,2023-02-10,04:10:52,Completed,322
56,24,32,Paneer Butter Masala,2023-11-26,06:20:56,Not Fulfilled,631
57,30,9,Dosa,2023-06-17,17:32:21,Completed,464
58,19,71,Dosa,2023-07-16,18:18:07,Completed,379
59,25,45,Shawarma,2023-08-04,09:01:20,Completed,218
60,2,32,Shawarma,2023-06-12,02:11:15,Not Fulfilled,299
61,21,58,Dosa,2023-01-13,13:13:16,Not Fulfilled,355
62,31,40,Shawarma,2023-09-29,21:36:00,Not Fulfilled,744
63,25,70,Paneer Butter Masala,2023-02-04,12:33:55,Not Fulfilled,248
64,31,56,Shawarma,2023-12-29,11:56:30,Not Fulfilled,797
65,20,58,Chole Bhature,2023-12-22,06:43:17,Completed,657
66,31,67,Dosa,2023-09-11,11:26:33,Completed,228
67,30,12,Shawarma,2023-04-02,06:28:35,Not Fulfilled,358
68,20,49,Burger,2023-09-04,10:24:26,Not Fulfilled,638
69,29,71,Pizza,2023-05-02,23:17:51,Completed,161
70,12,71,Paneer Butter Masala,2023-07-31,19:57:13,Not Fulfilled,299
71,1,17,Paneer Butter Masala,2023-08-16,12:43:04,Completed,754
72,9,69,Burger,2023-11-02,14:57:17,Completed,511
73,20,17,Paneer Butter Masala,2023-07-07,03:40:21,Not Fulfilled,443
74,18,56,Burger,2023-02-21,16:12:47,Completed,507
